id,simplified,traditional,pinyin,jyutping,english,mandarin_rank,cantonese_rank,examples,hsk_level
556457660868933499,爱,愛,ài,oi3,to love; to be fond of; to like; affection,130,,[],1
591145132810011157,爱好,愛好,ài hào,oi3 hou2,to like; to be fond of; to take pleasure in; to be keen on; interest; hobby,4902,,[],1
149797147143074069,八,八,bā,baat3,eight; 8,1362,,[],1
752996513397847451,爸,爸,bà,baa1,father; dad,1142,,[],1
902639004103999462,爸爸,爸爸,bà ba,baa4 baa1,(coll.) father; dad,908,,[],1
7595446888129720,吧,吧,bā,baa6,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc)",58,,[],1
333739423785806674,白,白,Bái,baak6,surname Bai,930,,[],1
710843258031198178,白天,白天,bái tiān,baak6 tin1,daytime; during the day,3645,,[],1
360629366758474633,百,百,Bǎi,baak3,surname Bai,2455,,[],1
141861907369183700,班,班,Bān,baan1,surname Ban,1238,,[],1
198147767441925469,半,半,bàn,bun3,half; semi-,727,,[],1
138422965226195259,半年,半年,bàn nián,bun3 nin4,half a year,37795,,[],1
279807742017530661,半天,半天,bàn tiān,bun3 tin1,half of the day; a long time,7467,,[],1
505432430772210728,帮,幇,bāng,bong1,old variant of 帮,395,,[],1
1119707706348025179,帮忙,幫忙,bāng máng,bong1 mong4,to help; to lend a hand,1860,,[],1
568463331206950144,包,包,Bāo,baau1,surname Bao,755,,[],1
851672981704800318,包子,包子,bāo zi,baau1 zi2,bao (steamed stuffed bun),16315,,[],1
167582822361431764,杯,杯,bēi,bui1,cup; trophy cup,684,,[],1
741339157763120465,杯子,杯子,bēi zi,bui1 zi2,cup; glass,6162,,[],1
327659284619276397,北,北,běi,bak1,north; (classical) to be defeated,1835,,[],1
583402777021209096,北边,北邊,běi biān,bak1 bin1,north; north side,17637,,[],1
470029476324574195,北京,北京,Běi jīng,bak1 ging1,"Beijing, capital of the People's Republic of China",4799,,[],1
953849198028404815,本,本,běn,bun2,root; stem,222,,[],1
919531468794377696,本子,本子,běn zi,bun2 zi2,book; notebook,12849,,[],1
468667919121093473,比,比,Bǐ,bei2,Belgium; Belgian,155,,[],1
1087108253880713861,别,別,Bié,bit6,surname Bie,214,,[],1
652425307208334798,别的,別的,bié de,bit6 dik1,else; other,543,,[],1
666389305964778293,别人,別人,bié ren,bit6 jan4,other people; others; other person,397,,[],1
298155631898684347,病,病,bìng,beng6,illness; disease,827,,[],1
950579552976098675,病人,病人,bìng rén,beng6 jan4,sick person; patient,1209,,[],1
646957048034459194,不,不,bù,bat1,no; not so; (bound form) not; un-,9,,[],1
549381837419100062,不大,不大,bù dà,bat1 daai6,not very; not too,4915,,[],1
292699039962033566,不对,不對,bù duì,bat1 deoi3,incorrect; wrong,2598,,[],1
845555560922296850,不客气,不客氣,bù kè qi,bat1 haak3 hei3,you're welcome; don't mention it,16723,,[],1
543459658270928106,不用,不用,bù yòng,bat1 jung6,need not,1013,,[],1
555274849274453205,菜,菜,cài,coi3,dish (type of food); vegetable,1448,,[],1
682867920632085558,茶,茶,chá,caa4,tea; tea plant,1910,,[],1
911026755491607627,差,差,chā,caa1,difference; discrepancy; (math.) difference (amount remaining after a subtraction),968,,[],1
1019479004800863045,常,常,Cháng,soeng4,surname Chang,1057,,[],1
342238850079056878,常常,常常,cháng cháng,soeng4 soeng4,frequently; often,2773,,[],1
34763325227740890,唱,唱,chàng,coeng3,to sing; to call loudly,813,,[],1
452127473229273780,唱歌,唱歌,chàng gē,coeng3 go1,to sing a song,2876,,[],1
560789283556281167,车,車,Chē,ce1,surname Che,186,,[],1
741411910494602735,车票,車票,chē piào,piu3,ticket (for a bus or train),7701,,[],1
121181695271930460,车上,車上,chē shàng,soeng6,Car,1997,,[],1
682024312714387026,车站,車站,chē zhàn,zaam6,rail station; bus stop,4480,,[],1
725313554088879838,吃,吃,chī,hek3,to eat; to consume; to eat at (a cafeteria etc),142,,[],1
1061841112450591618,吃饭,吃飯,chī fàn,hek3 faan6,to have a meal; to eat,1415,,[],1
476965512002874865,出,出,chū,ceot1,to go out; to come out,85,,[],1
813169913702523457,出来,出來,chū lái,ceot1 loi4,to come out; to appear,254,,[],1
137456710177076871,出去,出去,chū qù,ceot1 heoi3,to go out,784,,[],1
738627503000211347,穿,穿,chuān,cyun1,to wear; to put on,430,,[],1
734325293998692587,床,床,chuáng,cong4,bed; couch,961,,[],1
424948147151594787,次,次,cì,ci3,next in sequence; second,99,,[],1
624759520889313300,从,从,cóng,cung4,variant of 从,70,,[],1
920770279006217177,错,錯,Cuò,co3,surname Cuo,531,,[],1
473332453927740266,打,打,dá,daa2,dozen (loanword),153,,[],1
447962085100663925,打车,打車,dǎ chē,daa2 ce1,to take a taxi (in town); to hitch a lift,15698,,[],1
768779317785218876,打电话,打電話,dǎ diàn huà,daa2 din6 waa6,to make a telephone call,1218,,[],1
459305718559905980,打开,打開,dǎ kāi,daa2 hoi1,to open; to show (a ticket),1199,,[],1
1028817864141474736,打球,打球,dǎ qiú,daa2 kau4,to play ball; to play with a ball,5476,,[],1
38452346520794698,大,大,dà,daai6,big; large; great; older (than another person),66,,[],1
601436310947470180,大学,大學,Dà xué,daai6 hok6,"the Great Learning, one of the Four Books 四书 in Confucianism",814,,[],1
517338489396518994,大学生,大學生,dà xué shēng,sang1,university student; college student,4422,,[],1
545705105149615171,到,到,dào,dou3,to reach; to arrive; to leave for; to go to,29,,[],1
1071393947445991041,地,地,de,dei6,"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct",132,,[],1
1053290629865229493,地点,地點,dì diǎn,dei6 dim2,place; site,1921,,[],1
791256873990034274,地方,地方,dì fāng,dei6 fong1,region; regional (away from the central administration),254,,[],1
227745101797425777,地上,地上,dì shang,dei6 soeng6,on the ground; on the floor,2185,,[],1
319226702853612512,地图,地圖,dì tú,dei6 tou4,map,3548,,[],1
32769664779378215,的,的,de,dik1,of; ~'s (possessive particle); (used after an attribute),1,,[],1
940253960359568874,得到,得到,dé dào,dak1 dou3,to get; to obtain,308,,[],1
275811916674134284,等,等,děng,dang2,class; rank,83,,[],1
177385374198277611,弟,弟,dì,dai6,younger brother; junior male,6568,,[],1
964326233486728669,弟弟,弟弟,dì di,dai6 dai6,younger brother,2424,,[],1
985868922974338942,第,第,dì,dai6,"(prefix indicating ordinal number, as in 六 ""sixth""); (literary) grades in which successful candidates in the imperial ex",962,,[],1
779674064467922866,第二,第二,dì èr,dai6 ji6,second; number two,527,,[],1
132186207592310376,点,點,diǎn,dim2,point; dot,58,,[],1
693642912655993381,电,電,diàn,din6,lightning; electricity,1027,,[],1
1097126469931896286,电话,電話,diàn huà,din6 waa6,telephone; phone call,359,,[],1
1065235776669782951,电脑,電腦,diàn nǎo,din6 nou5,computer,946,,[],1
226729437420281626,电视,電視,diàn shì,din6 si6,television; TV,779,,[],1
371547272429164295,电视机,電視機,diàn shì jī,din6 si6 gei1,television set,6649,,[],1
839679394759530124,电影,電影,diàn yǐng,din6 jing2,movie; film,546,,[],1
778912176588761556,电影院,電影院,diàn yǐng yuàn,jing2 jyun2,cinema; movie theater,7945,,[],1
369493538361152859,东,東,Dōng,dung1,surname Dong,1509,,[],1
403516041630995069,东边,東邊,dōng bian,dung1 bin1,east; east side,16314,,[],1
669342197065286917,东西,東西,dōng xī,dung1 sai1,east and west,226,,[],1
806388774492372497,动,動,dòng,dung6,(of sth) to move; to set in movement,588,,[],1
981107589297085653,动作,動作,dòng zuò,dung6 zok3,movement; motion; action; to act; to move,1418,,[],1
959791793586365538,都,都,Dū,dou1,surname Du,25,,[],1
936783906280632486,读,讀,dòu,duk6,comma; phrase marked by pause,1013,,[],1
1016635510606458519,读书,讀書,dú shū,duk6 syu1,to read a book; to study,3285,,[],1
12248475727838735,对,對,duì,deoi3,right; correct; towards; at; for,28,,[],1
64736628623442252,对不起,對不起,duì bu qǐ,deoi3 bat1 hei2,I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint,1577,,[],1
311224696546420949,多,多,duō,do1,many; much; too many; in excess,80,,[],1
489091172583842477,多少,多少,duō shǎo,do1 siu2,number; amount,526,,[],1
862566692136085211,饿,餓,è,ngo6,to be hungry; hungry,1477,,[],1
555206577225257727,儿子,兒子,ér zi,jan4 zi2,son,665,,[],1
132121300531110971,二,二,èr,ji6,two; 2,664,,[],1
927415268413778789,饭,飯,fàn,faan6,cooked rice; meal,1529,,[],1
1119864724866614246,饭店,飯店,fàn diàn,faan6 dim3,restaurant; hotel,3998,,[],1
984930342386777296,房间,房間,fáng jiān,fong4 gaan1,room,1357,,[],1
1142860553797194268,房子,房子,fáng zi,fong4 zi2,house; building (single- or two-story),1027,,[],1
474702436738937628,放,放,fàng,fong3,to put; to place,280,,[],1
428283709926882588,放假,放假,fàng jià,fong3 gaa3,to have a holiday or vacation,6177,,[],1
1057542093749570116,放学,放學,fàng xué,fong3 hok6,to dismiss students at the end of the school day,7209,,[],1
225945996832484626,飞,飛,fēi,fei1,to fly,779,,[],1
57141648087318611,飞机,飛機,fēi jī,fei1 gei1,airplane,1067,,[],1
377950165929370200,非常,非常,fēi cháng,fei1 soeng4,very; really; unusual; extraordinary,194,,[],1
60589061468987515,分,分,fēn,fan1,to divide; to separate; to distribute; to allocate,372,,[],1
374996733487190621,风,風,fēng,fung1,wind; news,1150,,[],1
340228935745919824,干,乹,gān,gon1,old variant of 干,463,,[],1
1106070447308259204,干净,乾淨,gān jìng,kin4 zing6,clean; neat,2430,,[],1
50949317472514660,干什么,幹什麼,gàn shén me,gon1 zaap6 jiu1,what are you doing?; what's he up to?,2714,,[],1
795284729058124427,高,高,Gāo,gou1,surname Gao,290,,[],1
764434921583807827,高兴,高興,gāo xìng,gou1 hing1,happy; glad,920,,[],1
46768511290795385,告诉,告訴,gào sù,gou3 sou3,to press charges; to file a complaint,252,,[],1
927691416709343301,哥,哥,gē,go1,elder brother,1132,,[],1
833723143087319929,哥哥,哥哥,gē ge,go4 go1,older brother,1655,,[],1
262199970843551267,歌,歌,gē,go1,song; to sing,702,,[],1
1115531988507214255,个,個,gě,go3,used in 自个儿,19,,[],1
289495080254330304,给,給,gěi,kap1,to; for,46,,[],1
789979417374235771,跟,跟,gēn,gan1,heel; to follow closely,135,,[],1
250931028165272737,工人,工人,gōng rén,gung1 jan4,worker,2405,,[],1
998106058517554378,工作,工作,gōng zuò,gung1 zok3,to work; (of a machine) to operate,111,,[],1
734987178236868899,关,關,Guān,gwaan1,surname Guan,1129,,[],1
322054034758198364,关上,關上,guān shàng,soeng6,"to close (a door); to turn off (light, electrical equipment etc)",7234,,[],1
865515003141743190,贵,貴,guì,gwai3,expensive; noble,2239,,[],1
1102179413486956094,国,國,Guó,gwok3,surname Guo,1527,,[],1
974919732935089420,国家,國家,guó jiā,gwok3 gaa1,country; nation; state,356,,[],1
703871008489418046,国外,國外,guó wài,gwok3 ngoi6,abroad; external (affairs),3896,,[],1
1016091787105430887,过,過,Guō,gwo3,surname Guo,60,,[],1
38308914244819232,还,還,Huán,waan4,surname Huan,37,,[],1
225128013302930362,还是,還是,hái shi,waan4 si6,still (as before); had better,160,,[],1
129260663619942889,还有,還有,hái yǒu,waan4 jau5,furthermore; in addition,153,,[],1
921479498671472849,孩子,孩子,hái zi,haai4 zi2,child,207,,[],1
784542990571928516,汉语,漢語,Hàn yǔ,hon3 jyu5,Chinese language,13422,,[],1
866606673129560687,汉字,漢字,hàn zì,hon3 zi6,Chinese character; Japanese: kanji,19725,,[],1
179668879100748949,好,好,hǎo,hou2,good; appropriate; proper,20,,[],1
51060039735545309,好吃,好吃,hǎo chī,hou2 hek3,tasty; delicious,2484,,[],1
414895723676551278,好看,好看,hǎo kàn,hou2 hon3,good-looking; nice-looking,1877,,[],1
1027273441944949367,好听,好聽,hǎo tīng,hou2 jan5,pleasant to hear,4355,,[],1
320576432283035338,好玩儿,好玩兒,hǎo wán r,hou2 wun6 jan4,erhua variant of 好玩; amusing,23411,,[],1
573489235790489602,号,號,háo,hou6,roar; cry,278,,[],1
691351320427867852,喝,喝,hē,hot3,to drink; variant of 嗬,428,,[],1
694657376274481090,和,咊,hé,wo4,old variant of 和,19,,[],1
525237582036184083,很,很,hěn,han2,(adverb of degree); quite,35,,[],1
555452770669674695,后,后,Hòu,hau6,surname Hou,115,,[],1
1137179595531870918,后边,後邊,hòu bian,hau6 bin1,the back; the rear; the last bit; behind; near the end; at the back,14477,,[],1
448645755582338969,后天,後天,hòu tiān,hau6 tin1,"the day after tomorrow; life after birth (the period in which one develops through experiences, contrasted with 天)",9407,,[],1
702075634526239246,花,花,Huā,faa1,surname Hua,435,,[],1
654727172144250799,话,話,huà,waa6,dialect; language,157,,[],1
1045709873314219947,坏,壞,huài,pui1,bad; spoiled,1239,,[],1
411836009858383942,回,回,huí,wui4,to circle; to go back,225,,[],1
28627258487360522,回答,回答,huí dá,wui4 daap3,to reply; to answer; reply; answer,1100,,[],1
136417542587616452,回到,回到,huí dào,wui4 dou3,to return to,962,,[],1
744840162682491802,回家,回家,huí jiā,wui4 gaa1,to return home,554,,[],1
569424387593488541,回来,回來,huí lai,wui4 loi4,to return; to come back,480,,[],1
1031847493089148936,回去,回去,huí qu,wui4 heoi3,to return; to go back,1160,,[],1
394012187238645768,会,會,huì,wui6,can; to have the skill; to know how to; to be likely to; to be sure to,23,,[],1
1035948056020970785,火车,火車,huǒ chē,fo2 ce1,train,2791,,[],1
